"Product Id","Variant Id","Handle","Title","Body (Html)","Vendor","Type","Tags","Published","Option Fulfill Value","Custom Option","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Sku","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Google Shopping / Mpn","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","Seo Title","Seo Description","Google Shopping / Adwords Grouping","Google Shopping / Adwords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost Per Item","Available On Listing Pages","Available On Sitemap Files","Template","Shipping Profile Name","Variant Tag","Facebook Pixel Id","Facebook Access Token","Product Stock Status","Shipping Fee","Base Cost Variant"
"'1000000497522484'","'1000011323290099'","htx-fierstline","PREMIUM HTX first line","<p>There are two different ways to wear - you can wear it as sandals or flip flop. Constructed with lightweight and soft material.</p>
<ul>
<li>The upper is made of EVA</li>
<li>Feature: Anti-Slippery, Hard-Wearing, Quick-Drying</li>
<li>Perfect for indoor or outdoor use.</li>
<li>Custom area is the vamp and the tape.</li>
<li>This product is made on demand. </li>
<li>Multiple shipping options available, and cost varies on time efficiency<img src=""https://img.thesitebase.net/files/10285049/2022/08/19/1660898614aa43b54437.jpeg"" alt=""""/></li>
<li><strong>Size Kids</strong><strong><img src=""https://img.shopbase.com/files/10285049/2022/08/23/16612422771af360b081.jpeg"" alt=""""/></strong></li>
</ul>",,,"track-id-1000000497521562,ajb","TRUE",,"[]","Size","4 Men/5 Women","Color","White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1704709266812.jpg",1,,,,,,,,,,,,,,,,,,,"lb",,0,"TRUE","TRUE","Default",,"track-id-1000011323284283",,,,,
"'1000000497522484'","'1000011323290100'","htx-fierstline",,,,,,,,,,"4.5 Men/6 Women",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1704709266801.jpg",2,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284284",,,,0,0
"'1000000497522484'","'1000011323290101'","htx-fierstline",,,,,,,,,,"5 Men/7 Women",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1704709266822.jpg",3,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284285",,,,0,0
"'1000000497522484'","'1000011323290102'","htx-fierstline",,,,,,,,,,"6 Men/8 Women",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284286",,,,0,0
"'1000000497522484'","'1000011323290103'","htx-fierstline",,,,,,,,,,"7 Men/9 Women",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284287",,,,0,0
"'1000000497522484'","'1000011323290104'","htx-fierstline",,,,,,,,,,"8 Men/10 Women",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284288",,,,0,0
"'1000000497522484'","'1000011323290105'","htx-fierstline",,,,,,,,,,"9 Men/11 Women",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284289",,,,0,0
"'1000000497522484'","'1000011323290106'","htx-fierstline",,,,,,,,,,"10 Men/12 Women",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284290",,,,0,0
"'1000000497522484'","'1000011323290107'","htx-fierstline",,,,,,,,,,"10.5 Men",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284291",,,,0,0
"'1000000497522484'","'1000011323290108'","htx-fierstline",,,,,,,,,,"11 Men",,"White",,,"htx-fierstline",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011323284292",,,,0,0
