"short keyword","long keyword"
"MLCR","Motleycrue"
"RMS","Rammstein"
"SLK","Slipknot"
"5FDP","5 finger death punch"
"MTH","Motorhead"
"KRN","Korn"
"ADC","ACDC"
"PTR","Pantera"
"SLER","Slayer"
"BLST","Black Sabbath"
"OZY","Ozzy"
"GNR","Gun 'n rose"
"SD","SOAD"
"LZPL","led zeppelin"
"AER","Aerosmith"
"UU","U2"
"EGL","Eagles"
"PPR","Papa Roach"
"WTC","Wutang clan"
"MTD","Mastodon"
"NIN","Nine Inch Nails"
"DSTUR","Disturbed"
"DIOO","Dio"
"GODM","Godsmack"
"BBEN","Breaking Benjamin"
"BLIK","blink-182"
"GRFD","Grateful dead"
"DLPR","DEF LEPPARD"
"MGD","Megadeth"
"QNN","Queen / Freddie Mercury"
"PRCE","PRINCE"
"ELV","ELVIS PRESLEY"
"CCF","Chicago Fire"
"LCY","I LOVE LUCY"
"RLST","The Rolling stone"
"PKFL","Pink Floyd"
"BRX","Boston red sox"
"DPP","Deep Purple"
"NVN","Nirvana"
"LKP","Linkin Park"
"QSC","queensryche"
"PLJ","Pearl Jam"
"DMT","Dave Matthew"
"LNSN","Lynyrd Skynyrd"
"ROH","Radiohead"
"ZLD","ZELDA"
"MTJ","monster jams"
"LBK","limp bizkit"
"WZR","Weezer"
"FGF","Florida gators football"
"GPK","Green Packers"
"SHL","Seahawls"
"RVN","ravens"
"DFT","Dying Fetus"
"CNC","cannibal corpse"
"TVM","trivium"
"PSN","poison"
"ANTR","Anthrax"
"EXD","Exodus"
"KRET","Kreator"
"MCF","Mercyful fate"
"DTH","DEATH"
"RAT","RATT"
"BHM","behemoth"
"JDPR","Judas priest"
"JFAP","Jefferson Airplane"
"RMN","Ramones"
"BML","Bob Marley"
"BRST","Bruce Springsteen"
"DPC","Depeche"
"STNK","Stevie Nicks"
"BSB","Backstreet boys"
"HSL","Harry Styles"
"BGS","Biggie Small"
"MNM","Minnie Mouse"
"FLM","fleetwood mac"
"BRSP","britney spears"
"DBA","Diabetes Awareness"
"JODE","john deere"
"GGWT","george washington"
"JST","James Stewart"
"FRC","Ferrero Rocher"
"FRTL","Frito-lay"
"RGP","RingPop"
"GRD","Green Day"
"JHL","Joker & Harley"
"CAE","Carl & Ellie"
"ANR","Anne Rice"
"HWK","hawkeye"
"GFID","Garfield"
"5NAF","Five Nights at Freddy's"
"JDD","Joan Didion"
"BMTH","Bring Me The Horizon"
"MSF","Misfits"
"SBT","Sabaton"
"KRK","Kid Rock"
"ASB","Austin Butler"
"PNBR","PnB Rock"
"T1975","The 1975"
"NTW","Nightwish"
"TJD","The Judds"
"BLSH","Blake Shelton"
"TMRH","Thomas Rhett"
"ZML","Zayn Malik"
"MMT","Melanie Martinez"
"RBM","Reba McEntire"
"SRS","Sofia Reyes"
"MLM","Maluma"
"MRLB","Miranda Lambert"
"DDYK","Daddy Yankee"
"CRCL","Chris Stapleton"
"KUB","Keith Urban"
"KSB","Kelsea Ballerini"
"NHR","Niall Horan"
"LTLS","Louis Tomlinson"
"CHRB","Chris Brown"
"MRM","Marilyn Monroe"
"JNRV","Jenni Rivera"
"GTV","Gloria Trevi"
"BIBO","Blood In Blood Out"
"GRS","Grease"
"WSS","West Side Story"
"PPC","Pedro Pascal"
"LZZ","Lizzo"
"FRGO","Fargo"
"C&C","Cheech & Chong"
"MGM","Mega Man"
"ZBR","Zach Bryan"
"STH","Sonic the Hedgehog"
"RDO","Rodeo"
"JCL","J Cole"
"GVF","Greta van fleet"
"SCRF","Scarface"
"RMST","Romeo Santos"
"ORP","OneRepublic"
"BSG","Bob Seger"
"DJTX","Daisy Jones & The Six"
"BND","Brooks & Dunn"
"SNDN","Shinedown"
"AOS","Agents of S.H.I.E.L.D."
"S41","Sum 41"
"TTB","Tedeschi Trucks Band"
"MSD","Muse band"
"TYTR","The Young and the Restless"
"JTN","Juneteenth"
"BLU","Bluey"
"TNTN","Tina Turner"
"STF","Street Fighter"
"NKB","Nickelback"
"SRV","Stevie Ray Vaughan"
"M20","Matchbox Twenty"
"HRD","Hardy"
"TMG","Tim McGraw"
"KNSB","Kansas band"
"50C","50 Cent"
"SWF","Switchfoot"
"NKH","Noah Kahan"
"LMN","The Lumineers"
"TDB","The Doobie Brothers"
"TSTL","The Silence of the Lambs"
"WLJN","Waylon Jennings"
"LBB","Lil Baby"
"JPD","Jon Pardi"
"CMG","CITY MORGUE"
"MHG","Merle Haggard"
"21SV","21 Savage"
"TLCL","Tyler Childers"
"HLVP","Hollywood Vampires"
"DRTT","Dream Theater"
"GGJN","George Jones"
"BRAD","Bryan Adams"
"OVK","Overkill"
"ALC","Alice In Chains"
"DTL","Dustin Lynch"
"ALBB","Alabama Band"
"LHOTP","Little House on the Prairie"
"STPT","Steel Panther"
"RTJ","Run The Jewels"
"PPB","Pulp Band"
"LJN","Lil Jon"
"WKM","Whiskey Myers"
"WSP","Widespread Panic"
"BBRS","Blackberry smoke"
"TOSR","The Offspring"
"JVKE","JVKE"
"RDRDDT","Redemption"
"MDV","Mudvayne"
"IPK","Impractical Jokers"
"ASSC","Assassin's Creed"
"DAC","David Allan Coe"
"LLCJ","LL Cool J"
"AHS","American Horror Story"
"RHOBH","The Real Housewives of Beverly Hills"
"AMAM","Amon Amarth"
"2CZ","2 Chainz"
"LDK","Lil Durk"
"SSP","Slightly Stoopid"
"GRDS","Grandson"
"5SOS","5 Seconds of Summer"
"TBC","The Black Crowes"
"STBD","Starbenders"
"LEBR","Lee Brice"
"TOL","The Outlaws"
"GML","Gov't Mule"
"BBTL","Blue Beetle"
"HWL3","Hank Williams III"
"KDB","Kodak Black"
"BTRM","Busta Rhymes"
"LTF","Little Feat"
"TONG","The Originals"
"TRGR","The Regrettes"
"MMM","Mamma Mia"
"FIR","falling in reverse"
"ASC","asteroid city"
"MFD","MF DOOM"
"OPHM","Oppenheimer"
"RKM","Rakim"
"HRC","Horror Characters"
"DCFC","Death cab for cutie"
"DBT","Drive By Truckers"
"SSM","Sam Smith"
"JLS","JLS"
"TIST","This Is Spinal Tap"
"IMDG","Imagine Dragons"
"STLD","Steely Dan"
"SMS","Stop Making Sense"
"BNTH","Boyz n the Hood"
"BTVS","Buffy the Vampire Slayer"
"BRBC","The Brady Bunch"
"MLHC","Molly Hatchet"
"TBFC","The Breakfast Club"
"WLC","Wilco"
"MMX","Mad max"
"TAAJ","The All-American Rejects"
"WDIS","What We Do in the Shadows"
"KSE","Killswitch Engage"
"PKMN","Pikmin"
"GTA","Grand Theft Auto"
"SDHT","Shadowhunters"
"KOL","Kings of Leon"
"NKM","Nicki Minaj"
"GGDL","Goo Goo Dolls"
"MTPT","Monty Python"
"STMB","Steve Miller Band"
"TMST","The Munsters"
"3DD","3 Doors Down"
"RMNT","Remnant"
"ITMM","In this Moment"
"CTCR","Counting Crows"
"HLST","Halestorm"
"TFLS","The Flaming Lips"
"STPL","Stone Temple Pilots"
"BFMV","Bullet for My Valentine"
"STMG","Steel magnolias"
"MBTT","Matchbox Twenty"
"JMY","John Mayer"
"BGN","Boygenius"
"CCRB","Creedence Clearwater Revival"
"TDG","Three Days Grace"
"JSMR","Jason Mraz"
"CCN","Chris Cornell"
"CDB","Cardi B"
"MCRM","My Chemical Romance"
"KGDM","King Diamond"
"MGWL","Morgan Wallen"
"TPONG","Type O Negative"
"BLBS","Black Label Society"
"MGD","Megadeth"
"FATM","Florence and the Machine"
"FDKG","Freddy Krueger"
"TPRL","The Pretty Reckless"
"KAM","Kool Aid Man"
"M3G","M3gan"
"RDMC","Run DMC"
"QAL","Queen & Adam Lambert"
"AVLV","Avril Lavigne"
"JCO","J.Cole"
"RRH","Roddy Ricch"
"NCLN","Nick Castellanos"
"SPK","south parks"
"MGS","mean girls"
"NJT","Teenage Mutant Ninja Turtles"
"PPPG","Peppa Pig"
"CSM","Christmas Movie"
"LOBR","Losto Bear"
"WHA","Wham"
"PAF","phineas and ferb"
"WHC","White Christmas"
"TMR","Tate Mcrae"
"MAS","Madness"
"RAL","Rick Astley"
"WSK","Whitesnake"
"MCE","Motley Crue"
"BMT","Babymetal"
"ADA","Adam Doleac"
"DHT","Deer Hunting"
"HRP","harry potter"
"SUNA","supernatural"
"DTW","doctor who"
"STW","star wars"
"MICK","MICKEY"
"CHCHG","ching chong"
"MNO","minion"
"SNPY","snoopy"
"BBNY","bugs bunny"
"DVD","Darth vader"
"BTF","back to the future"
"GPS","GRAM PARSONS"
"EDIE","Eddie"
"GBS","ghostbusters"
"ZZT","ZZ TOP"
"BDL","bob dylan"
"CRH","carolina hurricanes"
"MTLC","metallica"
"KTM","ktm RACING"
"LMM","lemmy"
"HWLJ","HANK WILLIAMS Jr"
"DND","donald duck"
"AVT","avatar"
"TAN","thanos"
"MKB","Mortal Kombat"
"JOK","Joker"
"JND","Johnny Depp"
"PKM","Pokemon"
"DPM","depeche mode"
"NBC","night before christmas"
"TWKD","the walking dead"
"BLWD","Black Widow"
"SLH","Slash"
"VHL","VAN HALEN"
"WLL","willie"
"CRL","Coor Light"
"BWS","Budweiser"
"CNL","Corona Light"
"MIL","Miller"
"BLM","blue moon"
"CBS","cowboys"
"GRY","Gryffindor"
"TMNT","RÙA"
"OKT","OUTKAST"
"WDW","litt"
"SCBD","SCOOBY-DOO"
"RICKM","Rick and Morty"
"TLM","the little mermaid"
"BATB","Beauty and the Beast"
"STC","STITCH"
"BTP","betty boop"
"JSK","jack skellington"
"DCD","DEICIDE"
"CHC","Cheech and Chong"
"BRZ","Bratz"
"NCD","National Cancer day"
"PSNL","Penn State Nittany Lions"
"FRS","Friends"
"TDS","the doors"
"CPH","Cypress Hill"
"DTS","Deftones"
"LDM","Lindemann"
"STK","Star trek"
"GRT","groot"
"JMS","Jameson"
"THG","THE HUNGER GAME"
"MNS","MOONSHINE"
"FAG","Family guy"
"STD","System of a down"
"MMS","Marilyn Manson"
"RZB","Rob Zombie"
"MSF","Misfits"
"AVG","Avengers"
"JWN","John Wayne"
"RBG","Ruth Bader Ginsburg"
"GGM","George Michael"
"RBP","Robert Plant"
"ESR","Ed Sheeran"
"KCB","Kurt Cobain"
"GBR","garth brooks"
"KRC","Keith Richards"
"JTBB","justin bieber"
"MPT","muppet"
"ADL","adam levine"
"BDBN","Bad Bunny"
"STT","stranger things"
"HUK","HULK"
"STN","Santana"
"MTR","Matrix"
"MRCR","Mariah Carey"
"ABT","albert einstein"
"TDR","Theodore Roosevelt"
"VAB","Virgil Abloh"
"BWC","Bewitched"
"NYC","New york city"
"HSH","HERSHEY'S"
"CRNT","coronita"
"RSS","Reese's"
"FFT","Foo Fighters"
"HAL","Han & Leia"
"BAC","Batman & Catwoman"
"TBD","Tom Brady"
"TVD","The Vampire Diary"
"YLST","Yellowstone"
"BTM","Batman"
"ECL","Eric Clapton"
"CPL","Cold play"
"AGT","American Gothic"
"TGD","Tangled"
"HIMYM","How I Met Your Mother"
"NASA","Nasa"
"HNS","Hennessy"
"APE","Appleton Estate"
