Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
'1000000497164529','1000011308744771',pjs-stbk-td-2811td3,PREMIUM STBK PAJAMAS SET TD,"<div class=""is-uppercase pointer flex items-center"">
<p><strong>DESCRIPTION</strong></p>
<p>LIGHTWEIGHT AND BREATHABLE PAJAMAS, CAN BE USED AS HOME WEAR IN THE BEDROOM, LIVING ROOM LIGHTS IN MULTIPLE SCENES, THE FABRIC IS SOFT AND SKIN-FRIENDLY</p>
<p>FABRIC:BRUSH(88% POLYESTER AND 12% SPANDEX)<br/>REGULAR FIT<br/>CREW NECK, LONG SLEEVES, TWO-PIECE SUIT, THERE IS TIGHTENING OF THE CUFFS AND THE FOOT MOUTH<br/>FABRIC WEIGHT:210 G/M²<br/>STITCH COLOR: BLACK OR WHITE, AUTOMATICALLY MATCHED BASED ON PATTERNS.<br/>AVERAGE PRODUCTION TIME: 2-4 BUSINESS DAYS<br/>CARE INSTRUCTION: MACHINE WASH COLD WITH SIMILAR COLORS, DO NOT BLEACH, TUMBLE DRY LOW, DO NOT IRON, DO NOT DRY CLEAN.<br/>THIS PRODUCT IS MADE ON DEMAND, WITH NO MINIMUM ORDER QUANTITY.<br/>MULTIPLE SHIPPING METHODS AVAILABLE, AND FEES VARY DEPENDING ON THE LOCATION AND THE SHIPPING METHOD SELECTED.<br/>NOTICE: A VARIETY OF FACTORS MAY CAUSE SLIGHT DIFFERENCES BETWEEN THE ACTUAL PRODUCT AND THE MOCK-UP, INCLUDING BUT NOT LIMITED TO COLORS AND PRECISION OF ELEMENTS POSITION.</p>
</div>
<div class=""toggle_content mt12"">
<div class=""product__description-html"">
<p><strong>Size T-Shirt for Adults</strong></p>
<p><img src=""https://img.shopbase.com/files/10285049/2022/11/01/166728224592d9300e93.png"" alt=""""/></p>
<p><strong>Size Pants for Adults</strong></p>
<p><strong><img src=""https://img.thesitebase.net/files/10285049/2022/10/24/16666057411b3f6f8bdb.jpeg"" alt=""""/></strong></p>
</div>
</div>",,,"stbk,track-id-1000000492375307",TRUE,,[],Size for Shirt,S,Size for Pants,S,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,https://img.btdmp.com/10489/10489248/products/origin/1701166194036.png,1,,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,track-id-1000011190050695,,,,,
'1000000497164529','1000011308744772',pjs-stbk-td-2811td3,,,,,,,,,,S,,M,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,https://img.btdmp.com/10489/10489248/products/origin/1701166194025.png,2,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050696,,,,0,0
'1000000497164529','1000011308744773',pjs-stbk-td-2811td3,,,,,,,,,,S,,L,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,https://img.btdmp.com/10489/10489248/products/origin/1701166194014.png,3,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050697,,,,0,0
'1000000497164529','1000011308744774',pjs-stbk-td-2811td3,,,,,,,,,,S,,XL,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050698,,,,0,0
'1000000497164529','1000011308744775',pjs-stbk-td-2811td3,,,,,,,,,,S,,2XL,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050699,,,,0,0
'1000000497164529','1000011308744776',pjs-stbk-td-2811td3,,,,,,,,,,S,,3XL,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050700,,,,0,0
'1000000497164529','1000011308744777',pjs-stbk-td-2811td3,,,,,,,,,,S,,4XL,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050701,,,,0,0
'1000000497164529','1000011308744778',pjs-stbk-td-2811td3,,,,,,,,,,S,,5XL,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050702,,,,0,0
'1000000497164529','1000011308744779',pjs-stbk-td-2811td3,,,,,,,,,,M,,S,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050703,,,,0,0
'1000000497164529','1000011308744780',pjs-stbk-td-2811td3,,,,,,,,,,M,,M,,,PJS-STBK-TD-2811TD3,0,,,deny,manual,39.95,54.95,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,0,,,,,track-id-1000011190050704,,,,0,0
